concept_id,code,source,datatype
1842,1842,local,Text
1843,151849,MCL/CIEL,N/A
1843,1843,local,N/A
1844,1844,local,N/A
1845,1845,local,N/A
1846,1846,local,Coded
1847,1847,local,N/A
1847,1358,MCL/CIEL,N/A
1848,1357,MCL/CIEL,Coded
1848,1848,local,Coded
1849,1849,local,N/A
1850,1850,local,N/A
1851,1851,local,N/A
1852,1852,local,N/A
1853,1853,local,Date
1854,1854,local,Date
1855,1855,local,Numeric
1855,1439,MCL/CIEL,Numeric
1856,162107,MCL/CIEL,Coded
1856,1856,local,Coded
1857,1440,MCL/CIEL,Numeric
1857,1857,local,Numeric
1858,1858,local,Boolean
1859,1859,local,N/A
1860,1821,MCL/CIEL,N/A
1860,1860,local,N/A
1861,1744,MCL/CIEL,N/A
1861,1861,local,N/A
1862,1555,MCL/CIEL,N/A
1862,1862,local,N/A
1863,1863,local,N/A
1863,160479,local,N/A
1864,1864,local,Coded
1865,1865,local,N/A
1866,1866,local,N/A
1868,1640,MCL/CIEL,Date
1869,1641,MCL/CIEL,Date
1874,136162,MCL/CIEL,N/A
1874,1874,local,N/A
1875,114382,MCL/CIEL,N/A
1875,1875,local,N/A
1876,1876,local,N/A
1876,112930,MCL/CIEL,N/A
1877,116500,MCL/CIEL,N/A
1877,1877,local,N/A
1878,111103,MCL/CIEL,N/A
1878,1878,local,N/A
1879,1879,local,Coded
1880,1880,local,Coded
1881,1881,local,Coded
1882,1882,local,N/A
1883,1883,local,N/A
1884,1884,local,Coded
1885,1885,local,N/A
1885,113338,MCL/CIEL,N/A
1886,113339,MCL/CIEL,N/A
1886,1886,local,N/A
1887,113252,MCL/CIEL,N/A
1887,1887,local,N/A
1887,114736,MCL/CIEL,N/A
1888,160858,MCL/CIEL,N/A
1888,1888,local,N/A
1889,160866,MCL/CIEL,N/A
1889,1889,local,N/A
1890,1890,local,N/A
1890,160870,MCL/CIEL,N/A
1891,1891,local,N/A
1891,160862,MCL/CIEL,N/A
1892,1892,local,Numeric
1893,1893,local,Numeric
1894,1894,local,Numeric
1895,1895,local,Coded
1895,1282,MCL/CIEL,Coded
1896,1896,local,Coded
1896,160855,MCL/CIEL,Coded
1897,1897,local,N/A
1898,1898,local,Numeric
1899,1899,local,Numeric
1900,1900,local,N/A
1901,1442,MCL/CIEL,N/A
1901,1901,local,N/A
1902,1902,local,Coded
1903,1903,local,Coded
1904,1904,local,Coded
1905,1905,local,Coded
1906,1906,local,Coded
1907,1907,local,Coded
1908,1908,local,Coded
1909,1909,local,N/A
1909,124957,MCL/CIEL,N/A
1910,1910,local,N/A
1910,140832,MCL/CIEL,N/A
1911,1911,local,Coded
1912,1912,local,Coded
1913,1913,local,Coded
1914,1914,local,N/A
1915,160632,MCL/CIEL,Text
1915,1915,local,Text
1916,1916,local,Coded
1917,1917,local,N/A
1918,1918,local,N/A
1919,1919,local,N/A
1920,1920,local,Numeric
1921,1921,local,Numeric
1922,1922,local,N/A
1923,1923,local,Coded
1924,1924,local,N/A
1925,1925,local,N/A
1926,160634,MCL/CIEL,N/A
1926,1926,local,N/A
1927,1927,local,N/A
1928,1928,local,N/A
1929,1929,local,Coded
1930,1930,local,Coded
1931,1931,local,Coded
1932,161360,MCL/CIEL,N/A
1932,1932,local,N/A
1933,162046,MCL/CIEL,N/A
1933,1933,local,N/A
1934,1934,local,N/A
1935,1515,MCL/CIEL,N/A
1935,1935,local,N/A
1936,1513,MCL/CIEL,N/A
1936,1936,local,N/A
1937,1937,local,N/A
1938,1608,MCL/CIEL,N/A
1938,1938,local,N/A
1939,421967003,"SNOMED CT",Coded
1939,1519,MCL/CIEL,Coded
1939,1939,local,Coded
1940,1940,local,Numeric
1941,1941,local,N/A
1942,1942,local,Boolean
1943,1943,local,Boolean
1944,1944,local,N/A
1945,162048,MCL/CIEL,N/A
1945,1945,local,N/A
1946,1946,local,Coded
1947,1947,local,N/A
1948,1948,local,N/A
1949,1949,local,N/A
1950,1950,local,N/A
1951,1951,local,Coded
1952,163777,MCL/CIEL,Coded
1952,1952,local,Coded
1953,1953,local,N/A
1954,1954,local,N/A
1955,1955,local,Coded
1956,1956,local,N/A
1957,1957,local,Coded
1958,127750,MCL/CIEL,N/A
1958,1958,local,N/A
1959,1959,local,Numeric
1960,1960,local,Coded
1961,1961,local,N/A
1962,1962,local,Text
1963,1963,local,Text
1964,1964,local,N/A
1964,160546,MCL/CIEL,N/A
1965,160542,MCL/CIEL,N/A
1965,1965,local,N/A
1966,1966,local,N/A
1967,1538,MCL/CIEL,N/A
1967,1967,local,N/A
1968,1968,local,N/A
1969,1969,local,N/A
1970,1970,local,Text
1971,123801,MCL/CIEL,N/A
1971,1971,local,N/A
1972,1972,local,Coded
1972,1542,MCL/CIEL,Coded
1973,1973,local,N/A
1974,1974,local,N/A
