concept_id,code,source,datatype,source_code
1542,1947,AMPATH,Coded,1947AMPATH
6032,195033,"IMO ProblemIT",Coded,"195033IMO ProblemIT"
1542,1972,AMPATH,Coded,1972AMPATH
159098,197354009,"SNOMED CT",Coded,"197354009SNOMED CT"
121760,197686,"IMO ProblemIT",N/A,"197686IMO ProblemIT"
1619,19869000,"SNOMED CT",Coded,"19869000SNOMED CT"
159941,2003,AMPATH,Coded,2003AMPATH
152460,2020,AMPATH,Coded,2020AMPATH
159935,2033,AMPATH,Coded,2033AMPATH
161440,20407-3,LOINC,Coded,20407-3LOINC
159936,2051,AMPATH,Coded,2051AMPATH
5632,2056,AMPATH,Coded,2056AMPATH
5497,20605-2,LOINC,Numeric,20605-2LOINC
730,20606-0,LOINC,Numeric,20606-0LOINC
159423,2061,PIH,Coded,2061PIH
1691,2090,AMPATH,Boolean,2090AMPATH
160108,2136,PIH,Coded,2136PIH
121764,2146,PIH,Boolean,2146PIH
1085,2154,AMPATH,N/A,2154AMPATH
1319,21649014,"IMO ProcedureIT",Numeric,"21649014IMO ProcedureIT"
159427,2169,PIH,Coded,2169PIH
1427,21840007,"SNOMED CT",Date,"21840007SNOMED CT"
21,21,AMPATH,Numeric,21AMPATH
21,21,CIEL,Numeric,21CIEL
5619,223366009,"SNOMED CT",Coded,"223366009SNOMED CT"
159871,2239,AMPATH,Coded,2239AMPATH
5629,224305003,"SNOMED NP",Boolean,"224305003SNOMED NP"
161630,224891009,"SNOMED NP",Coded,"224891009SNOMED NP"
161442,22702-5,LOINC,Coded,22702-5LOINC
159449,228273003,"SNOMED NP",Coded,"228273003SNOMED NP"
1732,2286,"PIH Malawi",Coded,"2286PIH Malawi"
164075,2307,PIH,Coded,2307PIH
307,2310,AMPATH,Coded,2310AMPATH
1436,2313,AMPATH,Coded,2313AMPATH
6032,235856003,"SNOMED CT",Coded,"235856003SNOMED CT"
1572,2368,AMPATH,Coded,2368AMPATH
5630,236973005,"SNOMED NP",Coded,"236973005SNOMED NP"
1048,2386,PIH,Boolean,2386PIH
12,2395,AMPATH,Coded,2395AMPATH
1125,2425,PIH,Coded,2425PIH
5497,24467-3,LOINC,Numeric,24467-3LOINC
160533,2451,PIH,Boolean,2451PIH
512,247441003,"SNOMED NP",Coded,"247441003SNOMED NP"
159958,2474,PIH,Coded,2474PIH
160554,2515,PIH,Date,2515PIH
159599,2516,PIH,Date,2516PIH
159599,2516,"PIH Malawi",Date,"2516PIH Malawi"
1823,252113007,"SNOMED CT",Numeric,"252113007SNOMED CT"
304,252393000,"SNOMED CT",Coded,"252393000SNOMED CT"
160563,2536,PIH,Coded,2536PIH
1111,2537003,"SNOMED NP",Coded,"2537003SNOMED NP"
160246,2544,PIH,Coded,2544PIH
857,2555,PIH,Numeric,2555PIH
856,25836-8,LOINC,Numeric,25836-8LOINC
1732,258700003,"SNOMED NP",Coded,"258700003SNOMED NP"
159368,261774000,"SNOMED CT",Numeric,"261774000SNOMED CT"
161888,261774000,"SNOMED NP",N/A,"261774000SNOMED NP"
1587,263495000,"SNOMED CT",Coded,"263495000SNOMED CT"
1658,2648,PIH,Coded,2648PIH
1252,266710000,"SNOMED NP",Coded,"266710000SNOMED NP"
161033,267013003,"SNOMED NP",Coded,"267013003SNOMED NP"
161442,26740568,"IMO ProcedureIT",Coded,"26740568IMO ProcedureIT"
5092,26745610,"IMO ProcedureIT",Numeric,"26745610IMO ProcedureIT"
162096,270894005,"SNOMED CT",Coded,"270894005SNOMED CT"
5092,2710-2,LOINC,Numeric,2710-2LOINC
5089,27113001,"SNOMED CT",Numeric,"27113001SNOMED CT"
112603,27129,"IMO ProblemIT",Coded,"27129IMO ProblemIT"
5085,271649006,"SNOMED CT",Numeric,"271649006SNOMED CT"
5086,271650006,"SNOMED CT",Numeric,"271650006SNOMED CT"
302,27171005,"SNOMED CT",Coded,"27171005SNOMED CT"
161446,27171005,"SNOMED NP",N/A,"27171005SNOMED NP"
512,271807003,"SNOMED CT",Coded,"271807003SNOMED CT"
1125,271911005,"SNOMED CT",Coded,"271911005SNOMED CT"
1123,272016000,"SNOMED CT",Coded,"272016000SNOMED CT"
161438,2756-5,LOINC,Numeric,2756-5LOINC
1638,275922000,"SNOMED NP",N/A,"275922000SNOMED NP"
160596,276477006,"SNOMED NP",Coded,"276477006SNOMED NP"
163104,278448002,"SNOMED CT",Text,"278448002SNOMED CT"
162695,278844005,"SNOMED NP",Coded,"278844005SNOMED NP"
1436,278977008,"SNOMED NP",Coded,"278977008SNOMED NP"
1343,284473002,"SNOMED CT",Numeric,"284473002SNOMED CT"
1443,2876,"PIH Malawi",Numeric,"2876PIH Malawi"
